ABIES
ACER
ACHILLEA
ACHNATHERUM
ACONITUM
ACTINIDIA
ADIANTHUM
AEGOPODIUM
AESCULUS
AJUGA
ALCHEMILLA
ALNUS
ALTHAE
AMORPHA
ANDROMEDA
AQUILEGIA
ARABIS
ARA LIA
ARCTOSTAPHYLOS
ARENARIA
ARISAEMA
ARMERIA
ARONIA
ARTEMISIA
ARUNCUS
ASARUM
ASIMINA
ASTILBOIDES
ASTRANTIA
AZALEA
BERBERIS
BETULA
BRUNNERA
BUXUS
CALLUNA
CAMPANULA
CARAGANA
CAREX
CARPINUS
CARYA
CASSANDRA
CELASTRUS
CELTIS
CENTAUREA
CERASTIUM
CENTRANTHUS
CEPHALANTUS
CHAENOMELES
CHAMAECYPARIS
CHIONANTHUS
CHRYSANTHEMUM
CIMICIFUGA
CLEMATIS
CLETHRA
COMPTONIA
CONVALLARIA
CORNUS
CORYLUS
COTINUS
CRATAEGUS
CYTISUS
DELPHINIUM
DIANTHUS
DICENTRA
DIGITALIS
DIRCA
DIERVILLA
DRYOPTERIS 
ECHINACEA
ECHINOPS
ELEAGNUS
ELEUTHEROCOCCUS
EMPETRUM
EPIMEDIUM
ERYNGIUM
EUONYMUS
EUPATORIUM
EUPHORBIA
FAGUS
FALLOPIA
FESTUCA
FILIPENDULA
FRAGARIA
FRAXINUS
GAILLARDA
GAULTHERIA
GENISTA
GENTIANA
GEUM
GINGKO
GLEDITSIA
GYMNOCLADUS
GYSOPHILA
HEDERA
HELENIUM
HELIANTHUS
HELICTOTRICHON
HELIOPSIS
HEUCHERA
HEUCHERELLA
HIPPOPHAE
HUMULUS
HYDRANGEA
HYPERICUM
IBERIS
ILEX
JOVIBARBA
JUGLANS
JUNIPERUS
LAMIUM
LARIX
LAVANDULA
LEONTOPODIUM
LIATRIS
LIGULARIA
LIGUSTRUM
LILIUM
LONICERA
LUPINUS
LYCHNIS
LYSIMACHIA
LYTHRUM
MAHONIA
MALVA
MALUS
MATTEUCIA
MONARDA
MORUS
MYRICA
NEMOPANTHUS
NEPETA
OENOTHERA
OSMUNDA
OSTRYA
PACHYSANDRA
PAEONIA
PANICUM
PAPAVER
PARTHENOCISSUS
PELTIPHYLLUM
PEROVSKIA
PETASITES
PHYSOSTEGIA
PICEA
PINUS
PHILADELPHUS
PHYSOCARPUS
POLEMONIUM
POLYGONATUM
POLYSTICHUM
PRIMULA
POTENTILLA
PRUNUS
PULMONARIA
PYRUS
QUERCUS
RHAMUS
RHUS
RIBES
ROBINA
RODGERSIA
ROSA
RUBUS
RUDBECKIA
SALIX
SALVIA
SAMBUCUS
SAXIFRAGA
SCABIOSA
SEDUM
SHEPHERDIA
SORBUS
SORGHASTRUM
SPIRAEA
STACHYS
SYMPHORICARPOS
SYRINGA
TAMARIX
TANACETUM
TAXUS
THALICTRUM
THUJA
THYMUS
TIARELLA
TILIA
TRADESCANTIA
TRIFOLIUM
TRILLIUM
TROLLIUS
TSUGA
ULMUS
VACCINIUM
VERONICA
VIBURNUM
VINCA
VIOLA
VITIS
WEIGELA
WISTERIA
